Title,Author,PABC Average Score,Vintage PABC,Gender,Language,Year,Decade
The Last Man,Mary Shelley,4.75,,F,English,1826,1820
Heroes and Villains,Angela Carter,4.43,,F,English,1969,1960
The Wall,Marlen Haushofer,7.5,,F,Austrian,1963,1960
Children of the Dust,Louise Lawrence,8.67,,F,English,1985,1980
The Giver,Lois Lowry,6,,F,English,1993,1990
Oryx and Crake,Margaret Atwood,7.5,Yes,F,English,2003,2000
The Hunger Games,Suzanne Collins,7,,F,English,2008,2000
The Age of Miracles,Karen Thompson Walker,6.9,,F,English,2012,2010
The Dog Stars,Peter Heller,6.36,,F,English,2013,2010
The Testamnet of Jessie Lamb,Jane Rogers,6.34,,F,English,2011,2010
The Machine Stops,E M Forster,7.8,,M,English,1909,1900
The Sleeper Awakes,H G Wells,5.29,,M,English,1910,1910
The Trial,Franz Kafka,6.33,,M,German,1925,1920
Brave New World,Aldous Huxley,7.96,Yes,M,English,1939,1930
War With The Newts,Karel Capek,7.23,,M,Czech,1936,1930
Earth Abides,George R Stewart,7.6,Yes,M,English,1949,1940
Nineteen Eighty Four,George Orwell,9,,M,English,1949,1940
"Alas, Babylon",Pat Frank,7.44,,M,English,1959,1950
I am Legend,Richard Mattheson,7.44,Yes,M,English,1954,1950
On The Beach,Nevil Shute,6.88,Yes,M,English,1957,1950
The Day of The Triffids,John Wyndham,8.37,Yes,M,English,1951,1950
The Death of Grass,John Christopher,7.3,Yes,M,English,1956,1950
A Canticle for Leibowitz,Walter M Miller Jnr,6.98,Yes,M,English,1960,1960
A Clockwork Orange,Anthony Burgess,8.2,,M,English,1962,1960
"Make Room, Make Room",Harry Harrison,4.95,,M,English,1966,1960
Planet of the Apes,Pierre Boulle,6.1,,M,French,1963,1960
The Drowned World,J G Ballard,6.1,Yes,M,English,1962,1960
Z for Zachariah,Robert C O'Brien,7.55,,M,English,1974,1970
Galapagos,Kurt Vonnegut,6.1,,M,English,1985,1980
Riddley Walker,Russell  Hoban,6.87,,M,English,1980,1980
The Postman,David Brin,5.64,,M,English,1982,1980
The Running Man,Richard Bachman,5.2,,M,English,1982,1980
Children Of Men,P D James,6.89,Yes,M,English,1992,1990
Neverwhere,Neil Gaiman,7.6,,M,English,1996,1990
Divided Kingdom,Rupert Thomson,6.3,,M,English,2005,2000
Nightwork,Thomas Glavinic,0,,M,Austrian,2006,2000
Shades of Grey,Jasper Fforde,6.95,,M,English,2009,2000
Survivors,Terry Nation,5.1,,M,English,2008,2000
The Enemy,Charlie Higson,8,,M,English,2009,2000
The Road,Cormac McCarthy,7.95,Yes,M,English,2006,2000
The Snow,Adam Roberts,4.44,,M,English,2004,2000
The Traveller,John Twelve Hawks,3.5,,M,English,2005,2000
The Wind Up Girl,Paolo Bacigalupi,5.54,,M,English,2009,2000
Intrusion,Ken MacLeod,6.06,,M,English,2012,2010
Robopocalypse,Daniel H Wilson,5.7,,M,English,2011,2010
The Girl With All The Gifts,M R Carey,7.72,,M,English,2014,2010
The Testimony,James Smythe,3.74,,M,English,2013,2010
Things We Didn't See Coming,Steven Amsterdam,4.73,,M,English,2011,2010
God's Dog,Diego Marani,5.02,,M,Italian,2014,2010
